,30-3,10-3,30-5,10-5,30-7,10-7
WCG,0.6270491803278688,0.547486033519553,0.6756756756756757,0.5783132530120482,0.7194244604316546,0.7586206896551724
PKI,0.6270491803278688,0.6284153005464481,0.6384180790960452,0.6216216216216216,0.6260162601626016,0.6666666666666666
CL,0.6267942583732058,0.6598639455782312,0.6503496503496503,0.6949152542372882,0.6354166666666666,0.7058823529411765
ETFC,0.624,0.42134831460674155,0.6276595744680851,0.39436619718309857,0.6170212765957447,0.2608695652173913
AKAM,0.6239316239316239,0.7,0.6419753086419753,0.7424242424242424,0.6551724137931034,0.8
TFC,0.6234309623430963,0.5106382978723404,0.6331360946745562,0.5384615384615384,0.6551724137931034,0.45
PHM,0.6233766233766234,0.6444444444444445,0.6257309941520468,0.6607142857142857,0.59375,0.8125
BR,0.6233183856502242,0.5459770114942529,0.5875,0.5526315789473685,0.5614035087719298,0.5294117647058824
KLAC,0.6228070175438597,0.6935483870967742,0.6153846153846154,0.6703296703296703,0.6132075471698113,0.7
FTNT,0.6213592233009708,0.5529411764705883,0.5918367346938775,0.5571428571428572,0.580952380952381,0.6428571428571429
MMC,0.6206896551724138,0.5568862275449101,0.6119402985074627,0.5205479452054794,0.6043956043956044,0.4
DLR,0.620253164556962,0.5163043478260869,0.6097560975609756,0.4805194805194805,0.5877192982456141,0.52
WYNN,0.620253164556962,0.5930232558139535,0.6494252873563219,0.6575342465753424,0.656,0.5555555555555556
SWK,0.6199095022624435,0.5838150289017341,0.6081081081081081,0.625,0.631578947368421,0.6666666666666666
SWKS,0.6198347107438017,0.5792682926829268,0.6420454545454546,0.5641025641025641,0.6771653543307087,0.5
VTR,0.6188524590163934,0.536144578313253,0.6397849462365591,0.5753424657534246,0.6618705035971223,0.5416666666666666
GS,0.6188118811881188,0.4258064516129032,0.65,0.3584905660377358,0.6831683168316832,0.38461538461538464
TSCO,0.6180257510729614,0.5808383233532934,0.6524390243902439,0.6142857142857143,0.6859504132231405,0.6086956521739131
PEP,0.6174242424242424,0.5609756097560976,0.6142131979695431,0.59375,0.6206896551724138,0.5454545454545454
CHD,0.6169354838709677,0.6303030303030303,0.6170212765957447,0.6363636363636364,0.6066666666666667,0.7142857142857143
DGX,0.616600790513834,0.5672514619883041,0.6145833333333334,0.5882352941176471,0.5833333333333334,0.65
TTWO,0.6157407407407407,0.6292134831460674,0.6301369863013698,0.6619718309859155,0.6732673267326733,0.75
BLK,0.615686274509804,0.5529411764705883,0.6391752577319587,0.5833333333333334,0.6357142857142857,0.6
ADM,0.6148409893992933,0.6114649681528662,0.6388888888888888,0.660377358490566,0.6453488372093024,0.8125
WAT,0.6147540983606558,0.5714285714285714,0.6144578313253012,0.5365853658536586,0.6509433962264151,0.2962962962962963
EMN,0.6147540983606558,0.5209580838323353,0.6264367816091954,0.5441176470588235,0.6370967741935484,0.5833333333333334
EW,0.614406779661017,0.6554054054054054,0.6217948717948718,0.6037735849056604,0.6372549019607843,0.8333333333333334
VZ,0.6143497757847534,0.5632911392405063,0.6258064516129033,0.532258064516129,0.5963302752293578,0.3333333333333333
GLW,0.6134453781512605,0.40804597701149425,0.6166666666666667,0.36,0.6176470588235294,0.35
EQIX,0.6130268199233716,0.5555555555555556,0.6071428571428571,0.5617977528089888,0.589041095890411,0.6296296296296297
GOOGL,0.6127659574468085,0.5380116959064327,0.5930232558139535,0.43243243243243246,0.5555555555555556,0.375
TROW,0.6122448979591837,0.5941176470588235,0.6120218579234973,0.5897435897435898,0.6461538461538462,0.6
ZBRA,0.6119402985074627,0.6198830409356725,0.574468085106383,0.6133333333333333,0.5656565656565656,0.6363636363636364
BSX,0.611336032388664,0.6060606060606061,0.6089385474860335,0.5774647887323944,0.609375,0.6153846153846154
NOW,0.6111111111111112,0.3333333333333333,0.4,0.25,0.3333333333333333,0.0
ETN,0.6103896103896104,0.5838509316770186,0.6047904191616766,0.6379310344827587,0.5701754385964912,0.5454545454545454
MKTX,0.6103896103896104,0.5444444444444444,0.58125,0.5641025641025641,0.5765765765765766,0.5238095238095238
COP,0.6101694915254238,0.503030303030303,0.6296296296296297,0.5373134328358209,0.652542372881356,0.5
EFX,0.6099290780141844,0.5384615384615384,0.634703196347032,0.47368421052631576,0.6941176470588235,0.4444444444444444
MCHP,0.6098654708520179,0.5131578947368421,0.59375,0.46551724137931033,0.5929203539823009,0.3333333333333333
PCAR,0.6090909090909091,0.5866666666666667,0.6025641025641025,0.5714285714285714,0.5818181818181818,0.5238095238095238
EXPD,0.6081632653061224,0.5180722891566265,0.6089385474860335,0.5294117647058824,0.6384615384615384,0.52
MTB,0.6077586206896551,0.5572916666666666,0.6086956521739131,0.5913978494623656,0.5666666666666667,0.5675675675675675
KEY,0.6071428571428571,0.5363128491620112,0.6577540106951871,0.5584415584415584,0.7014925373134329,0.5833333333333334
GOOG,0.6062992125984252,0.5549132947976878,0.5925925925925926,0.5205479452054794,0.5602836879432624,0.39285714285714285
LOW,0.6062992125984252,0.4690721649484536,0.5752688172043011,0.39325842696629215,0.5661764705882353,0.2413793103448276
EXPE,0.6049382716049383,0.5988700564971752,0.6277777777777778,0.5903614457831325,0.6370370370370371,0.5714285714285714
STX,0.6046511627906976,0.5722543352601156,0.6190476190476191,0.6455696202531646,0.6203703703703703,0.6923076923076923
TMUS,0.6018957345971564,0.5185185185185185,0.6,0.5151515151515151,0.5934065934065934,0.6
EXC,0.6018099547511312,0.6,0.58,0.5625,0.5673076923076923,0.6666666666666666
PAYX,0.6017699115044248,0.6035502958579881,0.6,0.64,0.6307692307692307,0.6666666666666666
O,0.6,0.5,0.5642857142857143,0.391304347826087,0.5368421052631579,0.4166666666666667
ITW,0.6,0.550561797752809,0.5738636363636364,0.4810126582278481,0.5648854961832062,0.4827586206896552
LKQ,0.6,0.5099337748344371,0.6021505376344086,0.49122807017543857,0.5874125874125874,0.2777777777777778
IT,0.5992217898832685,0.6703910614525139,0.6243654822335025,0.7303370786516854,0.6601307189542484,0.6511627906976745
AVGO,0.5991902834008097,0.5875706214689266,0.5895953757225434,0.5333333333333333,0.576271186440678,0.391304347826087
LRCX,0.5983606557377049,0.5752688172043011,0.5964912280701754,0.5487804878048781,0.5952380952380952,0.5517241379310345
DUK,0.5981308411214953,0.6440677966101694,0.6197183098591549,0.6891891891891891,0.6237623762376238,0.7
T,0.5980392156862745,0.5344827586206896,0.5833333333333334,0.4794520547945205,0.5686274509803921,0.2
MOS,0.597457627118644,0.5586592178770949,0.5852272727272727,0.5974025974025974,0.5511811023622047,0.7241379310344828
BAC,0.5972222222222222,0.5476190476190477,0.6037735849056604,0.5606060606060606,0.5950413223140496,0.625
BBY,0.5967741935483871,0.632183908045977,0.6162162162162163,0.5714285714285714,0.6028368794326241,0.5185185185185185
MXIM,0.5960591133004927,0.5919540229885057,0.5895522388059702,0.5657894736842105,0.5730337078651685,0.4166666666666667
AIZ,0.5954198473282443,0.5307262569832403,0.5771144278606966,0.4358974358974359,0.5714285714285714,0.391304347826087
WELL,0.5947136563876652,0.5513513513513514,0.6073619631901841,0.5487804878048781,0.5964912280701754,0.5517241379310345
TRV,0.5946969696969697,0.5027322404371585,0.5803108808290155,0.4268292682926829,0.5734265734265734,0.21428571428571427
D,0.594017094017094,0.5895953757225434,0.5689655172413793,0.6486486486486487,0.5801526717557252,0.68
